,world_rank,institution,country,long,lat,web_addr,logo_source
79,79,Ludwig Maximilian University of Munich,Germany,11.582529,48.150942,www.en.uni-muenchen.de/,upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Sigillum_Universitatis_Ludovico-Maximilianeae.svg/185px-Sigillum_Universitatis_Ludovico-Maximilianeae.svg.png
80,80,Georgia Institute of Technology,USA,-84.396231,33.775502,www.gatech.edu/,lh5.googleusercontent.com/-q0gRK-mwssI/AAAAAAAAAAI/AAAAAAAAF50/buVXRKDs0ws/s0-c-k-no-ns/photo.jpg
81,81,University of Rochester,USA,-77.631622,43.12658,www.rochester.edu,upload.wikimedia.org/wikipedia/zh/thumb/7/76/University_of_Rochester_logo.svg/1276px-University_of_Rochester_logo.svg.png
82,82,Katholieke Universiteit Leuven,Belgium,4.700413,50.877975,www.kuleuven.be/,upload.wikimedia.org/wikipedia/commons/thumb/a/a4/KUL.gif/190px-KUL.gif
83,83,Brown University,USA,-71.404467,41.827605,www.brown.edu,lh6.googleusercontent.com/-t3RDnbgYqSk/AAAAAAAAAAI/AAAAAAAADeI/KoFWoU4ZpAw/s0-c-k-no-ns/photo.jpg
84,84,Emory University,USA,-84.325782,33.798836,www.emory.edu,lh5.googleusercontent.com/-cMC_LNHHjsk/AAAAAAAAAAI/AAAAAAAAB9Q/1swEsvzfFyc/s0-c-k-no-ns/photo.jpg
85,85,Erasmus University Rotterdam,Netherlands,4.525789,51.917546,www.eur.nl/english/,www.timeshighereducation.com/sites/default/files/styles/institution_logo_320x320/public/erasmus-university-_rotterdam-logo.jpg?itok=FLZu2nPi
86,86,Tel Aviv University,Israel,34.80428,32.113323,english.tau.ac.il/,lh4.googleusercontent.com/-HDY2lP2FUy0/AAAAAAAAAAI/AAAAAAAAABg/TPlJ9hDZwgA/s0-c-k-no-ns/photo.jpg
87,87,Utrecht University,Netherlands,5.122698,52.090192,www.uu.nl/en,upload.wikimedia.org/wikipedia/commons/3/32/Utrecht_University_Logo.JPG
88,88,University of Sydney,Australia,151.187143,-33.888477,sydney.edu.au/,upload.wikimedia.org/wikipedia/en/thumb/6/62/University_of_Sydney.svg/1101px-University_of_Sydney.svg.png
89,89,"University of California, Irvine",USA,-117.768639,33.667002,uci.edu/,lh6.googleusercontent.com/-uESEAsyyBIQ/AAAAAAAAAAI/AAAAAAAADZw/XaqXqFUjOkU/s0-c-k-no-ns/photo.jpg
90,90,University of Texas MD Anderson Cancer Center,USA,-95.40079,29.705395,www.mdanderson.org/,lh3.googleusercontent.com/-T5FasWiKOUc/AAAAAAAAAAI/AAAAAAAAEGE/PzS0nQnhTJ8/s0-c-k-no-ns/photo.jpg
91,91,Swiss Federal Institute of Technology in Lausanne,Switzerland,6.566843,46.519144,www.epfl.ch/index.en.html,lh3.googleusercontent.com/-EBHaeSqsP8g/AAAAAAAAAAI/AAAAAAAAAO4/cmsaJfxKxvo/s0-c-k-no-ns/photo.jpg
92,92,University of Geneva,Switzerland,6.145309,46.199355,www.unige.ch/international/en/,lh5.googleusercontent.com/-WP-ESrRN4kk/AAAAAAAAAAI/AAAAAAAAApQ/cMiJAz3cOsY/s0-c-k-no-ns/photo.jpg
93,93,University of Melbourne,Australia,144.961388,-37.79631,www.unimelb.edu.au/,lh6.googleusercontent.com/-zSz-6HwNDsY/AAAAAAAAAAI/AAAAAAAAAMU/N8yy0Tep9jU/s0-c-k-no-ns/photo.jpg
94,94,King's College London,United Kingdom,-0.116029,51.5115,www.kcl.ac.uk/,upload.wikimedia.org/wikipedia/commons/thumb/b/bf/King's_College_London_crest.png/220px-King's_College_London_crest.png
95,95,Tufts University,USA,-71.120641,42.406004,www.tufts.edu,lh3.googleusercontent.com/-5e8H5QqavJg/AAAAAAAAAAI/AAAAAAAAADA/lFyc1jeiVck/s0-c-k-no-ns/photo.jpg
96,96,University of Zurich,Switzerland,8.551013,47.374322,www.uzh.ch/en.html,d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/coursera-university-assets.s3.amazonaws.com/cc/953171de0d77c6e7b0db553f2ca932/uzh_logo_e_pos_360.png?auto=format&dpr=1&w=180&h=180
97,97,Arizona State University,USA,-111.940011,33.421921,www.asu.edu/,upload.wikimedia.org/wikipedia/zh/thumb/a/a1/Arizona_State_University_seal.svg/1024px-Arizona_State_University_seal.svg.png
98,98,Yonsei University,South Korea,126.938626,37.56575,www.yonsei.ac.kr/en_sc/,upload.wikimedia.org/wikipedia/zh/thumb/c/c7/YonseiUniversityEmblem.png/180px-YonseiUniversityEmblem.png
99,99,University of Oslo,Norway,10.722029,59.940034,www.uio.no/english/,upload.wikimedia.org/wikipedia/zh/a/a2/University_of_Oslo_logo.png
100,100,Kyushu University,Japan,130.425012,33.626721,www.kyushu-u.ac.jp/en/,upload.wikimedia.org/wikipedia/zh/thumb/f/fe/Kyushu_University.svg/243px-Kyushu_University.svg.png
